HIT,SONG,ARTIST,PEAK_POSITION,FIRST_WEEK,WEEKS_ON_CHART,SONG_DISPLAY,ARTIST_DISPLAY,DEBUT_RANK,DANCEABILITY,ENERGY,LOUDNESS,VALENCE,TEMPO,ACOUSTICNESS,SPEECHINESS,INSTRUMENTALNESS,LIVENESS,SPOTIFY_GENRE,TRACK_NAME,TRACK_ARTIST,PLAYLIST_GENRE,PLAYLIST_SUBGENRE,SPOTIFY_POPULARITY,DURATION,GENRE,SENTIMENT_POLARITY,SENTIMENT_SUBJECTIVITY,MENTIONS
0,0 to 100 the catch up,drake,35,8/9/14,20,0 To 100 / The Catch Up,Drake,63,0.707,0.709,-3.979,0.501,89.094,0.763,0.34,0,0.274,"['canadian hip hop', 'canadian pop', 'hip hop', 'pop rap', 'rap', 'toronto rap']",0 To 100 / The Catch Up,Drake,r&b,urban contemporary,5,275227,r&b,0.14747124183006538,0.27122549019607844,192888
1,03 bonnie clyde,jay z featuring beyonce knowles,4,10/26/02,23,'03 Bonnie & Clyde,Jay-Z Featuring Beyonce Knowles,56,,,,,,,,,,"['east coast hip hop', 'hip hop', 'pop rap', 'rap', 'southern hip hop']",,,,,61,205560,east coast hip hop,0.5719,0.27,824
0,1,nelly,22,10/20/01,20,#1,Nelly,75,0.792,0.6,-6.157,0.463,89.985,0.0236,0.228,0,0.419,"['dance pop', 'hip hop', 'pop', 'pop rap', 'rap', 'southern hip hop', 'urban contemporary']",,,,,50,198760,dance pop,0.18395277777777777,0.23430555555555557,20626
0,1 000 laughs,eloise laws,91,1/14/78,6,"1,000 Laughs",Eloise Laws,97,,,,,,,,,,['northern soul'],,,,,,,northern soul,0.439,0.47725,1889
0,1 1,beyonce,57,6/11/11,2,1+1,Beyonce,57,0.303,0.384,-7.342,0.261,63.345,0.381,0.0339,5.14e-06,0.0661,"['dance pop', 'pop', 'pop rap', 'r&b']",,,,,60,273880,dance pop,0.2535946902654867,0.23892035398230088,75528
1,1 2 3 4,coolio,5,3/9/96,21,"1, 2, 3, 4 (Sumpin' New)",Coolio,68,0.91,0.681,-9.639,0.7,115.186,0.288,0.153,0.00477,0.372,"['g funk', 'gangster rap', 'hip hop', 'rap', 'west coast rap']",,,,,49,214306,g funk,0.16893333333333335,0.25066666666666665,3113
0,1 2 3 4,plain white ts,34,2/7/09,20,"1, 2, 3, 4",Plain White T's,91,0.458,0.55,-7.092,0.56,90.56,0.566,0.0262,1.39e-05,0.108,"['neo mellow', 'pop', 'pop punk', 'pop rock']",,,,,62,198360,neo mellow,0.25542000000000004,0.3423333333333333,9390
1,1 2 3 red light,1910 fruitgum co,5,7/27/68,13,"1, 2, 3, Red Light",1910 Fruitgum Co.,84,,,,,,,,,,,,,,,,,,0.0309375,0.2475,2224
0,1 2 many,luke combs brooks dunn,97,9/28/19,1,"1, 2 Many",Luke Combs & Brooks & Dunn,97,0.54,0.821,-3.789,0.685,148.791,0.0397,0.0875,0,0.423,['contemporary country'],,,,,73,180906,contemporary country,-0.0551375,0.14437499999999998,5792
1,1 2 step,ciara featuring missy elliott,2,10/30/04,39,"1, 2 Step",Ciara Featuring Missy Elliott,74,0.944,0.511,-10.96,0.842,113.046,0.042,0.161,0.00107,0.0379,"['dance pop', 'hip pop', 'pop', 'pop rap', 'post-teen pop', 'r&b', 'rap', 'urban contemporary']","One, Two Step",Ciara,r&b,urban contemporary,74,203787,r&b,0.24602,0.17819999999999997,3814
