GENRE,count
Unknown,4098
adult standards,3641
album rock,1849
dance pop,1601
contemporary country,1358
pop,1046
brill building pop,1025
rock,1013
classic soul,995
r&b,815
rap,632
bubblegum pop,379
disco,370
atl hip hop,361
latin,259
funk,255
hip hop,247
alternative metal,242
dance rock,218
country,213
glee club,204
east coast hip hop,193
deep adult standards,167
classic country pop,164
boy band,156
chicago soul,155
alternative rock,154
canadian pop,148
blues rock,144
blues,139
freestyle,129
canadian hip hop,125
chicago rap,124
doo-wop,108
arkansas country,107
classic uk pop,103
beach music,102
british invasion,93
country rock,93
conscious hip hop,92
art rock,92
nashville sound,87
new wave pop,84
detroit hip hop,81
motown,81
folk,79
neo mellow,76
acoustic pop,75
alternative hip hop,75
melodic rap,74
baroque pop,69
glam rock,69
australian pop,69
rhythm and blues,68
hip pop,65
classic rock,64
alternative r&b,64
american folk revival,64
soft rock,63
dirty south rap,61
mellow gold,59
europop,59
classic garage rock,59
edm,56
comic,56
novelty,54
new jack swing,54
glam metal,52
rock-and-roll,51
g funk,49
baton rouge rap,47
deep disco,46
british soul,45
australian country,44
gangster rap,44
candy pop,44
idol,44
art pop,43
permanent wave,43
alternative dance,41
northern soul,41
florida rap,40
emo rap,40
modern rock,40
christmas instrumental,40
folk-pop,39
deep talent show,38
a cappella,37
pop rap,37
indie pop,36
hollywood,36
heartland rock,35
cowboy western,34
canadian contemporary r&b,34
barbadian pop,33
dfw rap,32
bebop,30
deep pop r&b,30
bubblegum dance,30
emo,30
reggae fusion,29
bachata,29
deep soft rock,29
irish rock,28
classic canadian rock,26
electropop,26
australian rock,26
surf music,26
bronx hip hop,26
cali rap,26
diva house,25
chicano rap,25
southern soul,25
post-teen pop,25
eurodance,25
classic girl group,25
easy listening,24
jazz blues,24
british folk,24
outlaw country,24
canadian country,23
crunk,23
appalachian folk,22
disco house,22
bossa nova,22
vocal jazz,22
big room,21
broadway,21
dancehall,21
hip house,21
bakersfield sound,21
alberta country,21
deep groove house,20
miami bass,20
swamp pop,20
pop rock,20
quiet storm,20
australian dance,19
colombian pop,19
british blues,19
louisiana blues,19
jazz funk,19
neo soul,19
sunshine pop,19
k-pop,19
lilith,19
garage rock,18
hammond organ,18
girl group,18
yacht rock,18
instrumental soul,17
ccm,17
deep new americana,17
jangle pop,17
rare groove,16
space age pop,16
merseybeat,16
soul,15
soul jazz,15
smooth jazz,15
electro,15
country rap,15
nc hip hop,15
afrobeat,14
reggae,14
social media pop,14
chicago house,14
banda,14
pop edm,14
britpop,14
classical performance,13
latin pop,13
sevdah,13
antiviral pop,13
calming instrumental,12
australian electropop,12
alternative pop,12
canadian indie,11
folk rock,11
big beat,11
houston rap,11
modern folk rock,11
jump blues,11
deep motown,11
gospel,11
battle rap,11
lovers rock,10
canadian folk,10
deep southern soul,10
dub,10
brooklyn drill,10
philly soul,10
country road,10
dance-punk,10
big band,10
alternative country,10
bass trap,10
hard rock,10
celtic rock,10
alternative emo,9
chicago drill,9
children s music,9
memphis soul,9
comedy,9
honky tonk,9
deep southern trap,9
traditional country,9
australian talent show,9
brostep,9
acid jazz,9
australian hip hop,9
dublin indie,9
jam band,9
disney,8
bounce,8
harlem hip hop,8
oklahoma country,8
north carolina hip hop,8
indie pop rap,8
alaska indie,8
classic soundtrack,8
minneapolis sound,8
rap kreyol,8
new jersey rap,8
chanson,8
deep northern soul,8
c86,7
cosmic american,7
boston rock,7
australian alternative rock,7
new romantic,7
traditional rockabilly,7
brit funk,7
pub rock,7
canadian electropop,7
classic italian pop,7
instrumental surf,7
