DEBUT_RANK,SPOTIFY_POPULARITY,HAS_PLAYLIST,GENRE_Hip-Hop/Rap,GENRE_Country,LOUDNESS,DURATION,HIT
63,5,1,False,False,-3.979,275227.0,0
56,61,0,True,False,-8.21,205560.0,1
75,50,0,False,False,-6.157,198760.0,0
97,42,0,False,False,-8.21,215093.0,0
57,60,0,False,False,-7.342,273880.0,0
68,49,0,False,False,-9.639,214306.0,1
91,62,0,False,False,-7.092,198360.0,0
84,42,0,False,False,-8.21,215093.0,1
97,73,0,False,True,-3.789,180906.0,0
74,74,1,False,False,-10.96,203787.0,1
97,42,0,False,False,-8.21,215093.0,0
86,42,0,True,False,-8.21,215093.0,0
61,42,0,True,False,-8.21,215093.0,1
88,0,0,False,False,-16.501875,206106.0,0
92,42,0,True,False,-8.21,215093.0,0
88,72,0,True,False,-12.686,243269.0,0
100,59,1,False,False,-3.078,238760.0,1
4,42,0,False,True,-8.21,215093.0,1
88,66,0,True,False,-3.789,177733.0,0
42,79,0,True,False,-9.931,208293.0,0
96,16,0,False,True,-8.304,245506.0,0
90,62,0,True,False,-9.871,334340.125,0
100,65,0,True,False,-3.766,278506.0,0
14,42,0,False,False,-8.21,215093.0,0
89,54,0,False,False,-7.375,278626.0,0
70,66,0,False,False,-7.459,244600.0,0
97,13,0,False,False,-10.247,151510.0,0
61,59,0,False,False,-7.382,183666.0,1
76,42,0,False,False,-8.21,215093.0,0
55,83,0,True,False,-6.067,175954.0,0
91,44,0,True,False,-7.135,206813.0,0
79,42,0,False,False,-8.21,215093.0,0
91,42,0,False,False,-8.21,215093.0,0
91,37,0,False,False,-4.906,172460.0,1
75,27,0,False,False,-10.487,249653.0,0
90,42,0,False,True,-4.911,239773.0,0
87,74,0,False,False,-7.76,248360.0,0
91,69,1,False,False,-11.101,229960.0,1
93,27,0,False,False,-12.161,139640.0,1
78,47,0,False,False,-8.54,210853.0,0
69,58,0,False,True,-5.042,200466.0,0
96,63,0,False,True,-5.131,217406.0,0
78,29,0,False,False,-16.501875,177693.0,0
90,66,0,False,False,-5.647,193106.0,0
99,42,0,False,False,-8.21,215093.0,0
88,0,0,False,False,-7.337,172693.0,0
90,72,0,True,False,-5.12,213080.0,0
83,61,0,True,False,-4.016,282666.0,0
73,69,0,False,False,-7.928,280026.0,0
